Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR17-PHRM-2-17784,Jamia Hamdard,New Delhi,Delhi,73.64,1,62.25,90.03,85.45,59.05,49.70
IR17-PHRM-1-1-NIP-1,"National Institute of Pharmaceutical Education and Research, Mohali",S.A.S. Nagar (Mohali),Punjab,73.18,2,71.97,80.91,69.53,70.26,63.84
IR17-PHRM-2-18023,University Institute of Pharmaceutical Sciences,Chandigarh,Chandigarh,69.59,3,68.01,57.93,87.00,90.44,53.75
IR17-PHRM-2-18261,Institute of Chemical Technology,Mumbai,Maharashtra,65.67,4,75.12,64.44,65.19,60.60,46.98
IR17-PHRM-2-18693,"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad,Telangana,65.14,5,88.80,44.84,65.74,77.30,41.71
IR17-PHRM-2-18599,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,64.79,6,69.09,57.70,75.20,55.81,61.34
IR17-PHRM-1-1-2812279307,Manipal College of Pharmaceutical Sciences,Manipal,Karnataka,59.64,7,74.94,41.95,56.00,65.21,68.50
IR17-PHRM-1-1-2816342749,"Poona College of Pharmacy, Erandwane, Pune",Pune,Maharashtra,54.69,8,62.33,39.08,57.71,70.28,57.02
IR17-PHRM-2-1-596,S.R.M Institute of Science and Technology,Chennai,Tamil Nadu,54.28,9,58.35,51.02,58.17,74.65,23.81
IR17-PHRM-1-17445,JSS College of Pharmacy,Mysore,Karnataka,52.83,10,58.78,31.95,54.39,86.27,61.08
IR17-PHRM-1-22,Dr. Harisingh Gour Vishwavidyalaya-Sagar,Sagar,Madhya Pradesh,51.13,11,42.06,63.20,40.57,64.03,50.37
IR17-PHRM-2-1-2811781771,Birla Institute of Technology,Ranchi,Jharkhand,51.09,12,67.49,43.97,38.74,61.74,37.30
IR17-PHRM-2-1-33,Annamalai University,Annamalainagar,Tamil Nadu,50.91,13,53.20,62.41,49.88,47.95,14.53
