Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-5-A-OEMAL-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,78.41,1,69.71,82.84,89.09,69.81,78.51
IR-4-A-OEMA-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,74.24,2,71.11,77.53,79.42,65.20,72.46
IR-3-A-OEA-U-0116,School of Planning and Architecture New Delhi,New Delhi,Delhi,54.86,3,67.29,17.90,68.81,59.43,95.97
IR-3-A-EMA-C-43708,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,54.15,4,59.74,27.46,91.21,41.98,55.51
IR-1-A-A-U-0626,School of Planning and Architecture Bhopal,Bhopal,Madhya Pradesh,53.10,5,77.27,19.87,62.37,62.27,52.62
IR-4-A-OEMA-U-0439,Anna University,Chennai,Tamil Nadu,50.83,6,55.25,24.97,57.82,52.05,100.00
IR-3-A-OEA-C-17029,JNAFAU School of Planning and Architecture,Hyderabad,Telangana,49.82,7,69.21,10.00,86.52,58.43,29.17
IR-5-A-OEMAL-U-0108,Jamia Millia Islamia,New Delhi,Delhi,49.09,8,52.07,23.62,75.95,65.73,46.17
IR-3-A-OEA-U-0189,National Institute of Technology Hamirpur,Hamirpur,Himachal Pradesh,46.04,9,48.36,43.82,48.99,51.67,34.11
IR-1-A-A-C-46330,"Faculty of Architecture, Manipal Academy of Higher Education",Udupi,Karnataka,43.14,10,59.09,0.00,74.22,65.15,40.57
