Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-1-D-D-N-15,All India Institute of Medical Sciences New Delhi,New Delhi,Delhi,90.71,1,94.85,100.00,72.24,78.14,100.00
IR-1-D-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,78.73,2,82.52,81.76,83.05,72.15,56.19
IR-1-D-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,73.61,3,76.49,49.45,97.56,66.35,96.87
IR-1-D-D-C-7242,Kasturba Medical College,Manipal,Karnataka,62.03,4,68.55,37.77,88.20,65.52,59.42
IR-1-D-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,61.73,5,76.68,39.59,83.87,60.38,40.38
IR-1-D-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,59.27,6,72.15,34.16,70.51,54.07,78.60
IR-3-D-OMD-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,58.52,7,71.25,53.53,53.59,55.85,47.74
IR-1-D-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,57.12,8,84.95,37.05,55.87,68.25,25.41
IR-7-D-OEMALDC-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,56.34,9,68.78,31.44,87.54,56.60,31.02
IR-3-D-ODP-I-1486,Sri Ramachandra Medical College and Research Institute,Chennai,Tamil Nadu,55.32,10,72.20,28.03,70.97,58.42,52.18
IR-5-D-OEMDP-U-0107,Jamia Hamdard,New Delhi,Delhi,54.42,11,66.32,38.13,76.80,61.28,15.89
IR-2-D-OD-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,54.12,12,75.67,9.48,89.06,65.26,42.43
IR-1-D-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,53.98,13,70.58,26.61,85.91,60.46,15.89
IR-1-D-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,52.00,14,80.43,14.14,84.67,52.37,14.61
IR-3-D-ODP-I-1409,University College of Medical Sciences,Delhi,Delhi,51.35,15,66.48,34.92,61.10,58.28,28.77
IR-1-D-D-C-7251,Kasturba Medical College,Mangalore,Karnataka,51.11,16,65.76,13.51,83.12,71.52,35.57
IR-6-D-OEMLDP-U-0078,Panjab University,Chandigarh,Chandigarh,49.74,17,60.24,49.63,40.35,73.10,13.95
IR-2-D-OD-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,49.42,18,70.62,12.18,84.31,72.78,4.37
IR-2-D-OD-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,49.19,19,73.53,11.27,81.90,66.06,7.56
IR-5-D-OEMLD-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,48.77,20,68.03,12.47,82.50,70.70,10.52
IR-1-D-D-C-45515,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu,48.45,21,72.91,3.42,71.78,50.56,61.36
IR-5-D-OEMDP-U-0473,SRM Institute of Science and Technology,Chennai,Tamil Nadu,48.34,22,66.64,22.29,64.50,58.35,29.23
IR-1-D-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,47.98,23,67.93,9.31,73.98,74.66,25.41
IR-6-D-OEMDPC-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,47.79,24,62.89,22.94,73.74,40.20,32.73
IR-1-D-D-C-24503,Jawaharlal Nehru Medical College,Belgaum,Karnataka,47.71,25,67.50,13.21,72.25,66.05,24.39
