Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-C-C-6355,Miranda House,Delhi,Delhi,73.72,1,77.45,39.24,88.35,75.90,71.74
IR-C-C-6377,Hindu College,Delhi,Delhi,70.57,2,73.74,26.63,89.78,74.77,71.46
IR-C-C-43921,Presidency College,Chennai,Tamil Nadu,68.01,3,77.49,98.02,46.40,50.56,56.50
IR-C-C-22470,St. Stephen`s College,Delhi,Delhi,67.55,4,75.11,14.06,76.98,68.71,92.87
IR-C-C-6415,Lady Shri Ram College for Women,New Delhi,Delhi,66.71,5,70.51,5.19,93.81,61.55,81.24
IR-C-C-44006,Loyola College,Chennai,Tamil Nadu,66.31,6,64.83,83.36,52.89,46.65,100.00
IR-C-C-6419,Shri Ram College of Commerce,Delhi,Delhi,64.94,7,70.16,0.98,90.07,74.62,67.46
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,Rahara,West Bengal,64.76,8,77.04,24.31,98.51,26.97,29.61
IR-C-C-6425,Hans Raj College,Delhi,Delhi,64.65,9,69.76,17.40,83.27,77.13,56.09
IR-C-C-11881,St. Xavier`s College,Calcutta,West Bengal,64.50,10,62.63,35.32,79.59,55.31,87.17
IR-C-C-11926,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,64.35,11,81.04,13.99,92.26,17.29,50.41
IR-C-C-6429,Gargi College,Delhi,Delhi,64.11,12,77.54,9.94,87.16,70.14,28.04
IR-C-C-43965,Madras Christian College,Chennai,Tamil Nadu,63.98,13,73.79,33.19,64.73,57.11,75.88
IR-C-C-22462,Atma Ram Sanatan Dharm College,New Delhi,Delhi,63.55,14,78.20,29.19,77.30,69.58,16.06
IR-C-C-42814,Ramakrishna Mission Residential College,Kolkata,West Bengal,63.53,15,73.31,25.81,88.62,28.82,53.13
IR-C-C-6361,Deen Dayal Upadhyaya College,New Delhi,Delhi,62.66,16,77.20,37.75,66.25,66.83,28.83
IR-C-C-41124,PSG College of Arts and Science,Coimbatore,Tamil Nadu,62.42,17,61.75,39.44,74.99,52.46,77.99
IR-C-C-6385,Kirori Mal College,Delhi,Delhi,61.67,18,77.38,27.81,64.60,69.98,33.99
IR-C-C-6369,Sri Venkateswara College,Delhi,Delhi,61.28,19,74.16,31.67,69.41,64.52,30.75
IR-C-C-6432,Dyal Singh College,New Delhi,Delhi,60.77,20,78.17,25.65,71.39,63.04,14.98
IR-C-C-27608,Lady Irwin College,Delhi,Delhi,60.53,21,75.46,18.77,72.35,62.90,31.49
IR-C-C-41046,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,59.77,22,62.37,27.11,80.72,59.52,46.23
IR-C-C-43671,University College,Thiruvananthapuram,Kerala,59.37,23,73.60,20.35,79.06,53.62,17.63
IR-C-C-6380,Acharya Narendra Dev College,New Delhi,Delhi,58.42,24,77.94,12.73,65.48,69.46,20.13
IR-C-C-6420,Jesus & Mary College,New Delhi,Delhi,58.37,25,67.03,0.49,91.03,63.90,23.38
