Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,77.21,1,85.16,38.77,78.96,76.02,100.00
IR-L-U-0111,National Law University,New Delhi,Delhi,76.23,2,92.30,52.69,66.34,73.12,75.20
IR-L-N-18,Nalsar University of Law,Hyderabad,Telangana,74.61,3,84.30,38.49,83.37,72.57,70.20
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,69.81,4,78.37,73.22,65.42,64.60,46.57
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,65.39,5,73.61,35.25,68.16,69.34,66.89
IR-L-U-0414,National Law University,Jodhpur,Rajasthan,63.94,6,71.62,34.27,77.92,66.17,40.55
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,60.68,7,61.86,17.19,81.93,76.91,51.84
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.49,8,62.15,51.04,64.40,72.66,35.98
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,58.64,9,69.79,22.62,66.90,70.20,35.98
IR-L-U-0386,The Rajiv Gandhi National University of Law,Patiala,Punjab,55.53,10,63.31,29.01,60.35,71.75,35.98
IR-L-U-0285,National Law Institute University,Bhopal,Madhya Pradesh,53.41,11,58.83,24.95,61.67,56.95,50.15
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.96,12,77.73,23.83,35.46,63.42,30.86
IR-L-U-0103,Indian Law Institute,New Delhi,Delhi,52.42,13,63.74,19.87,49.86,49.25,65.73
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,52.39,14,65.54,0.00,79.41,48.80,14.36
IR-L-C-23907,Dr. B. R. Ambedkar College of Law,Visakhapatnam,Andhra Pradesh,50.58,15,66.17,4.16,61.90,49.32,30.86
