Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-N-C-28507,Maulana Azad Institute of Dental Sciences,Delhi,Delhi,82.51,1,86.86,75.47,92.13,53.76,100.00
IR-N-C-7254,Manipal College of Dental Sciences,Udupi,Karnataka,78.17,2,83.05,79.41,71.63,76.42,74.72
IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,76.37,3,79.92,80.24,81.41,57.36,63.00
IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,72.34,4,82.66,60.57,74.93,63.38,80.44
IR-N-C-19320,A. B. S. M. Institute of Dental Sciences,Mangaluru,Karnataka,70.87,5,81.76,45.05,86.56,72.98,82.19
IR-N-C-7240,Manipal College of Dental Sciences,Mangalore,Karnataka,68.75,6,78.72,55.20,73.87,72.41,65.62
IR-N-I-1486,Sri Ramachandra Institute of Higher Education And Research,Chennai,Tamil Nadu,66.27,7,78.27,55.21,71.42,59.28,60.20
IR-N-N-153,Nair Hospital Dental College,Mumbai,Maharashtra,64.54,8,71.10,45.00,92.13,52.56,60.20
IR-N-N-352,SRM Dental College,Chennai,Tamil Nadu,64.47,9,73.92,45.61,95.99,56.37,37.72
IR-N-C-35008,JSS Dental College and Hospital,Mysuru,Karnataka,64.07,10,76.08,40.98,80.87,70.69,57.20
IR-N-U-0724,M. S. Ramaiah University of Applied Sciences,Bangalore,Karnataka,62.82,11,78.67,44.21,88.53,63.18,19.29
IR-N-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,62.76,12,79.84,37.00,97.12,63.62,19.29
IR-N-U-0436,Amrita School of Dentistry,Kochi,Kerala,61.46,13,69.43,41.74,90.41,73.89,26.38
IR-N-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,60.99,14,73.65,44.38,84.45,54.45,32.43
IR-N-C-30756,Postgraduate Institute of Dental Sciences,Rohtak,Haryana,60.68,15,81.55,44.47,64.81,48.59,50.45
IR-N-C-40193,Bapuji Dental College & Hospital,Davangere,Karnataka,60.24,16,73.33,41.46,68.72,60.36,60.20
IR-N-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,60.23,17,77.27,33.07,77.48,65.81,50.45
IR-N-C-29150,Christian Dental College,Ludhiana,Punjab,58.29,18,85.39,12.11,92.16,59.45,46.63
IR-N-U-0108,Jamia Millia Islamia,New Delhi,Delhi,58.02,19,78.86,36.28,55.20,73.84,50.45
IR-N-C-8528,Yenepoya Dental College,Mangaluru,Karnataka,58.01,20,77.63,32.69,63.60,67.91,53.96
IR-N-C-40192,College of Dental Sciences,Davangere,Karnataka,57.22,21,73.69,36.70,74.06,60.48,32.43
IR-N-C-29701,Government Dental College,Indore,Madhya Pradesh,56.08,22,74.23,24.35,91.54,55.54,26.38
IR-N-N-73,Army College of Dental Sciences,Secunderabd,Telangana,55.13,23,70.73,17.36,86.58,67.18,46.63
IR-N-C-24504,KLE Vishwanath Katti Institute of Dental Sciences,Belgaum,Karnataka,55.05,24,76.43,17.89,85.12,70.85,26.38
IR-N-U-0168,Maharishi Markandeshwar,Ambala,Haryana,55.04,25,65.62,26.42,80.63,66.37,46.63
IR-N-C-40531,Sri Dharmasthala Manjunatheswara College of Dharwad,Dharwad,Karnataka,54.30,26,75.98,10.38,84.85,57.14,57.20
IR-N-U-0461,M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,54.02,27,67.82,32.71,93.44,51.67,0.00
IR-N-U-0078,Panjab University,Chandigarh,Chandigarh,53.09,28,71.58,24.15,72.61,66.19,32.43
IR-N-N-116,Pacific Dental College,Udaipur,Rajasthan,52.87,29,69.84,23.70,92.17,63.83,0.00
IR-N-N-71,Institute of Medical Sciences,Varanasi,Uttar Pradesh,52.57,30,64.76,20.21,72.47,62.87,63.00
