Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,82.75,1,92.87,63.06,98.46,66.78,95.99
IR-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,81.32,2,91.46,57.43,98.48,69.45,100.00
IR-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,80.39,3,90.68,56.79,97.18,71.85,95.26
IR-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,73.85,4,86.93,48.58,93.71,71.35,73.17
IR-M-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,70.43,5,63.67,72.34,89.66,68.45,48.63
IR-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,69.96,6,81.27,44.07,94.41,63.24,71.63
IR-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,69.04,7,83.18,43.42,93.74,67.49,55.67
IR-M-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,67.19,8,58.85,72.08,81.33,62.55,53.97
IR-M-S-132,Xavier Labour Relations Institute (XLRI),Jamshedpur,Jharkhand,67.11,9,87.81,31.60,98.15,64.00,52.64
IR-M-I-1170,Management Development Institute,Gurugram,Haryana,65.95,10,79.56,46.04,94.54,69.12,24.51
IR-M-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,65.76,11,74.93,51.74,86.46,59.65,45.02
IR-M-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,62.87,12,56.75,75.17,76.86,59.00,20.34
IR-M-S-8931,National Institute of Industrial Engineering,Mumbai,Maharashtra,62.87,12,77.51,43.86,92.77,66.83,12.30
IR-M-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,61.77,14,67.19,48.90,79.17,59.09,51.96
IR-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.79,15,77.93,23.77,89.15,65.37,59.08
IR-M-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,60.53,16,70.79,49.79,79.81,58.94,24.95
IR-M-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,59.57,17,82.11,30.12,84.23,69.23,21.30
IR-M-I-1044,S. P. Jain Institute of Management and Research,Mumbai,Maharashtra,56.93,18,73.32,21.80,97.99,71.12,16.78
IR-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,56.12,19,70.51,28.83,90.07,67.91,15.15
IR-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,55.97,20,70.40,18.91,92.07,68.82,38.92
IR-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,55.91,21,63.80,32.83,88.68,71.99,19.85
IR-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,55.82,22,79.78,14.76,94.56,66.62,18.85
IR-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,55.80,23,83.89,16.46,84.14,68.75,19.85
IR-M-N-10,SVKM`s Narsee Monjee Institute of Management Studies ,Mumbai,Maharashtra,55.44,24,77.88,18.05,90.20,69.48,16.78
IR-M-U-0012,ICFAI Foundation for Higher Education,Hyderabad,Telangana,55.21,25,70.70,34.08,72.38,76.20,16.78
IR-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,55.01,26,74.90,18.22,86.23,58.00,40.15
IR-M-S-156,T. A. Pai Management Institute,Manipal,Karnataka,54.85,27,71.19,23.44,85.65,69.71,23.62
IR-M-I-1064,International Management Institute,New Delhi,Delhi,54.65,28,70.75,27.85,85.77,66.38,12.88
IR-M-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.71,29,72.92,44.32,53.02,56.63,22.71
IR-M-S-8937,Indian Institute of Management Shillong,Shillong,Meghalaya,53.56,30,72.49,12.46,91.82,58.51,38.61
IR-M-N-354,Xavier Institute of Management (XIMB),Bhubaneswar,Odisha,52.55,31,67.49,18.62,91.76,52.95,30.66
IR-M-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.15,32,72.68,17.87,77.97,74.64,19.35
IR-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,52.07,33,67.09,24.88,84.06,60.48,16.24
IR-M-U-0108,Jamia Millia Islamia,New Delhi,Delhi,51.41,34,65.78,27.65,75.45,73.76,9.23
IR-M-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,50.49,35,47.47,40.13,75.43,66.73,24.51
IR-M-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,49.51,36,65.41,20.94,77.96,59.88,20.34
IR-M-S-394,Institute of Management Technology,Ghaziabad,Uttar Pradesh,48.27,37,65.00,19.31,78.25,62.15,11.10
IR-M-U-0735,BML Munjal University,Gurgaon,Haryana,48.27,37,69.74,19.34,75.13,64.43,0.79
IR-M-U-0213,Alliance University,Bengaluru,Karnataka,47.47,39,70.01,9.44,81.67,65.23,7.93
IR-M-S-15962,Indian Institute of Management,Nagpur,Maharashtra,47.38,40,66.35,3.15,86.44,63.33,29.10
IR-M-U-0497,Amity University Noida,Gautam Budh Nagar,Uttar Pradesh,47.35,41,65.72,32.47,51.86,64.14,11.10
IR-M-U-0078,Panjab University,Chandigarh,Chandigarh,47.22,42,64.89,19.59,74.96,60.93,7.93
IR-M-I-1066,FORE School of Management,New Delhi,Delhi,47.11,43,62.21,12.93,85.09,62.00,13.46
IR-M-U-0146,Nirma University,Ahmedabad,Gujarat,46.75,44,74.60,9.04,72.37,63.32,8.59
IR-M-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,46.71,45,61.42,28.82,69.89,47.94,8.59
IR-M-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,46.69,46,61.69,17.06,74.98,51.94,28.71
IR-M-S-354,Birla Institute of Management Technology,Greater Noida,Uttar Pradesh,46.65,47,65.03,9.69,81.75,70.85,7.93
IR-M-S-87,Goa Institute of Management,Sanquelim,Goa,46.63,48,66.07,12.54,74.21,68.63,13.46
IR-M-U-0379,Lovely Professional University,Phagwara,Punjab,46.58,49,71.79,21.32,57.99,70.53,0.00
IR-M-S-331,Loyola Institute of Business Administration,Chennai,Tamil Nadu,46.51,50,63.56,6.59,85.92,56.10,26.66
IR-M-U-0747,Chandigarh University,Mohali,Punjab,46.40,51,71.79,5.85,73.89,81.64,1.56
IR-M-I-1408,International Management Institute,Kolkata,West Bengal,46.22,52,69.83,9.60,75.77,63.17,9.23
IR-M-I-1238,Institute for Financial Management and Research,"Sri City, Chittoor",Andhra Pradesh,46.16,53,63.66,7.36,84.69,73.93,5.22
IR-M-I-1480,Thapar Institute of Engineering & Technology,Patiala,Punjab,46.14,54,62.21,35.18,53.86,58.48,3.06
IR-M-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,45.89,55,60.46,42.81,42.50,46.78,17.31
IR-M-S-220,K. J. Somaiya Institute of Management Studies & Research,Mumbai,Maharashtra,45.50,56,68.65,4.55,84.19,60.30,6.60
IR-M-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,45.22,57,63.78,17.77,74.51,51.30,7.27
IR-M-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,45.13,58,61.28,22.12,56.88,58.95,28.31
IR-M-U-0439,Anna University,Chennai,Tamil Nadu,44.81,59,51.32,36.21,47.94,51.29,38.29
IR-M-I-1048,Institute of Management Technology,Nagpur,Maharashtra,44.71,60,69.97,4.53,79.51,61.49,3.06
IR-M-I-1132,Institute of Management Technology,Hyderabad,Telangana,44.38,61,66.22,6.65,72.17,70.31,10.48
IR-M-I-1058,Indian Institute of Forest Management,Bhopal,Madhya Pradesh,44.26,62,70.70,6.76,70.23,63.05,6.60
IR-M-I-1124,International Management Institute,Bhubaneswar,Odisha,44.02,63,68.25,8.24,69.69,62.18,9.23
IR-M-I-1156,Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development,Pune,Maharashtra,44.02,63,67.27,0.43,73.06,74.17,16.78
IR-M-U-0851,IIHMR UNIVERSITY,Jaipur,Rajasthan,43.97,65,64.74,8.19,73.14,72.25,2.32
IR-M-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,43.73,66,70.42,17.99,53.68,62.32,2.32
IR-M-C-32855,Jagan Institute of Management Studies,Delhi,Delhi,43.45,67,64.57,4.71,79.07,67.76,0.79
IR-M-C-34129,Principal L N Welingkar Institute of Management Development and Research ,Mumbai,Maharashtra,43.40,68,68.54,4.45,77.35,56.63,3.79
IR-M-S-3283,Jaipuria Institute of Management,Noida,Uttar Pradesh,43.38,69,63.55,6.81,77.91,63.85,3.06
IR-M-U-0020,Koneru Lakshmaiah Education Foundation University,Vaddeswaram,Andhra Pradesh,43.30,70,74.06,6.77,58.93,68.82,3.79
IR-M-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,43.24,71,70.14,10.34,65.77,54.97,4.51
IR-M-S-92,Institute of Rural Management Anand,Anand,Gujarat,42.70,72,54.41,10.55,81.69,53.54,15.15
IR-M-S-419,Jaipuria Institute of Management,Lucknow,Uttar Pradesh,42.56,73,66.20,2.53,79.30,58.47,2.32
IR-M-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,42.47,74,59.21,17.50,75.31,41.70,2.32
IR-M-U-0373,Chitkara University,Rajpura,Punjab,42.31,75,61.69,6.61,73.95,70.31,0.00
