Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-D-N-15,All India Institute of Medical Sciences,New Delhi,Delhi,90.69,1,92.69,96.57,83.25,72.56,100.00
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,80.06,2,81.14,82.46,86.16,66.08,71.44
IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,73.56,3,82.96,46.37,97.02,64.20,89.35
IR-D-U-0236,National Institute of Mental Health & Neuro Sciences,Bangalore,Karnataka,71.35,4,87.05,59.18,78.39,58.07,59.80
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,70.21,5,83.18,58.05,90.81,51.24,45.59
IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.72,6,72.09,52.73,89.09,57.44,37.07
IR-D-U-0436,Amrita Institute of Medical Sciences & Research,Kochi,Kerala,64.39,7,75.74,44.82,84.59,70.59,42.39
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,63.17,8,75.64,38.35,71.93,69.55,76.32
IR-D-C-7242,Kasturba Medical College,Manipal,Karnataka,62.84,9,67.41,39.78,84.42,72.01,66.14
IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,62.20,10,74.03,44.22,90.23,43.53,43.21
IR-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,61.58,11,88.82,34.60,77.57,58.31,32.06
IR-D-C-49008,Madras Medical College and Government General Hospital,Chennai,Tamil Nadu,58.84,12,72.68,17.49,98.06,55.61,66.14
IR-D-I-1486,Sri Ramachandra Institute of Higher Education And Research,Chennai,Tamil Nadu,57.90,13,72.29,27.29,83.30,66.91,46.73
IR-D-C-40453,St. John's Medical College,Bengaluru,Karnataka,57.83,14,72.22,29.16,84.98,65.68,38.47
IR-D-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,56.22,15,66.90,37.56,87.00,56.48,18.30
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,56.12,16,74.25,25.25,89.28,59.03,25.12
IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,55.31,17,69.43,26.43,80.40,55.08,49.62
IR-D-C-29209,Christian Medical College,Ludhiana,Punjab,55.01,18,74.87,20.34,85.79,65.89,26.97
IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,55.00,19,65.59,37.94,74.63,61.41,28.73
IR-D-C-35009,JSS Medical College,Mysore,Karnataka,54.32,20,67.75,18.25,85.80,68.37,45.20
IR-D-C-7251,Kasturba Medical College,Mangaluru,Karnataka,53.83,21,66.91,21.12,82.32,69.77,39.81
IR-D-U-0107,Jamia Hamdard,New Delhi,Delhi,52.87,22,65.91,41.49,60.00,68.94,17.55
IR-D-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,52.72,23,71.83,18.65,83.40,63.20,25.75
IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,52.05,24,71.73,20.49,78.60,69.79,16.80
IR-D-C-29442,Govt. Medical College & Hospital,Chandigarh,Chandigarh,52.01,25,69.66,19.06,84.00,58.92,26.97
IR-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,51.74,26,77.05,15.27,87.32,53.00,12.77
IR-D-N-17,Sawai Man Singh Medical College,Jaipur,Rajasthan,50.44,27,74.89,12.31,88.67,49.49,16.02
IR-D-C-45515,PSG Institute of Medical Sciences & Research,Coimbatore,Tamil Nadu,50.44,27,72.58,8.00,79.75,62.86,40.25
IR-D-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,50.21,29,70.47,15.11,82.59,68.35,11.91
IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,50.02,30,75.28,10.16,74.57,60.71,34.14
IR-D-U-0473,S. R. M. Institute of Science and Technology,Chennai,Tamil Nadu,49.06,31,68.90,28.13,61.80,59.90,16.02
IR-D-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,48.18,32,67.66,15.80,68.10,65.88,29.31
IR-D-U-0168,Maharishi Markandeshwar,Ambala,Haryana,48.13,33,68.99,16.49,69.80,61.98,23.19
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,46.49,34,69.69,20.51,58.00,66.40,11.91
IR-D-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,46.47,35,59.48,23.66,73.12,46.60,22.53
IR-D-C-19319,K. S. Hegde Medical Academy,Mangaluru,Karnataka,46.31,36,69.62,7.71,67.45,69.19,26.97
IR-D-C-23033,Krishna Institute of Medical Sciences,Karad,Maharashtra,46.00,37,70.04,13.65,68.86,63.93,7.35
IR-D-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,45.93,38,69.83,6.74,78.12,52.19,21.17
IR-D-C-9435,Regional Institute of Medical Sciences,Imphal West,Manipur,45.93,38,66.34,7.88,76.22,59.17,25.12
IR-D-C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Pondicherry,45.62,40,67.64,10.50,67.26,74.49,12.77
