Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,1,79.13,91.48,78.23,58.39,100.00
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.99,2,71.19,44.96,95.07,73.36,67.88
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.02,3,64.50,45.00,100.00,53.13,58.57
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,62.06,4,66.20,43.92,91.72,60.98,45.77
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.23,5,64.23,54.33,71.35,65.54,48.36
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,60.74,6,66.44,43.43,86.67,72.35,32.17
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,60.58,7,67.68,48.17,76.05,65.25,40.93
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.33,8,51.70,51.72,87.77,50.16,67.31
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,59.71,9,69.59,40.74,77.44,58.72,52.49
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.97,10,69.06,40.86,80.06,56.93,42.90
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.34,11,62.95,42.77,86.96,50.92,41.49
IR-O-U-0120,University of Delhi,Delhi,Delhi,57.09,12,42.65,54.23,82.66,59.60,55.37
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,56.63,13,48.43,56.83,69.94,59.38,51.16
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,56.44,14,61.79,47.45,74.17,53.21,35.22
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,56.10,15,50.05,55.82,75.96,46.07,45.43
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.97,16,51.91,43.09,73.11,51.35,67.20
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,54.74,17,55.81,43.13,72.05,59.50,46.97
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,53.24,18,68.64,36.45,65.98,50.79,34.35
IR-O-U-0235,Mysore University,Mysuru,Karnataka,52.68,19,68.77,18.79,90.54,54.24,28.80
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,52.34,20,63.89,29.92,71.34,65.89,33.30
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,52.06,21,62.40,27.78,70.00,78.43,31.74
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,51.83,22,58.58,38.28,66.30,57.78,37.34
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,51.59,23,48.88,40.86,71.57,53.49,50.12
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,51.10,24,55.04,25.59,85.84,54.46,42.86
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,50.90,25,48.98,43.27,67.55,64.66,32.53
IR-O-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,50.65,26,50.44,42.26,67.30,56.35,37.52
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,50.52,27,64.77,19.93,89.11,51.53,21.44
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,50.46,28,61.35,31.82,66.43,53.88,38.17
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,50.36,29,61.78,34.28,64.91,65.99,19.52
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,49.98,30,49.93,39.07,68.47,58.60,37.34
IR-O-U-0262,Mahatma Gandhi University,Kottayam,Kerala,49.30,31,59.27,34.73,68.77,52.55,20.97
IR-O-U-0027,Osmania University,Hyderabad,Telangana,49.16,32,52.04,28.16,79.86,51.62,39.67
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,49.09,33,58.71,27.32,67.45,51.68,46.34
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,48.79,34,63.04,19.39,66.70,70.04,37.19
IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,48.57,35,54.19,14.23,83.55,75.99,37.34
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,48.57,35,58.89,30.78,64.62,55.99,31.52
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,48.37,37,61.20,12.32,77.33,72.28,36.09
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,48.22,38,61.83,18.50,64.52,72.16,40.04
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,48.21,39,64.39,27.23,62.97,57.57,23.67
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.17,40,54.06,34.00,64.82,64.68,23.23
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,48.02,41,57.82,27.62,69.75,60.64,23.67
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,48.01,42,54.52,29.82,65.95,59.25,36.07
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,47.60,43,64.76,15.70,81.28,56.13,15.90
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,47.37,44,54.37,29.63,70.28,52.70,28.41
IR-O-U-0052,Gauhati University,Guwahati,Assam,47.35,45,55.17,19.05,83.56,58.40,25.34
IR-O-U-0056,Tezpur University,Tezpur,Assam,47.27,46,58.32,30.02,61.65,52.17,32.14
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,47.17,47,64.83,18.35,61.13,64.73,35.23
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,46.97,48,60.49,19.51,77.03,50.12,25.52
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,46.74,49,65.15,14.45,63.29,61.56,40.41
IR-O-U-0458,Kalasalingam Academy of Research and Higher Education,Srivilliputtur,Tamil Nadu,46.52,50,56.74,21.81,65.20,73.06,26.14
IR-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,46.44,51,55.40,24.41,67.59,67.94,21.90
IR-O-U-0747,Chandigarh University,Mohali,Punjab,46.15,52,57.48,14.24,63.40,75.44,44.23
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,45.67,53,40.78,28.63,76.11,53.77,42.52
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,45.61,54,51.21,19.87,79.19,50.61,33.90
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,45.44,55,63.31,14.77,63.13,60.92,32.97
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,45.00,56,59.50,19.37,63.50,59.14,27.30
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,44.63,57,54.74,29.92,53.67,47.80,37.19
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,44.36,58,39.94,30.10,72.40,58.18,30.52
IR-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,44.24,59,55.53,16.31,74.61,51.63,26.14
IR-O-U-0251,Calicut University,Malappuram,Kerala,44.13,60,63.32,16.64,63.32,54.77,20.01
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,44.05,61,64.06,10.35,60.07,66.19,31.02
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,43.33,62,47.55,27.51,63.87,65.97,14.49
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,43.32,63,61.71,24.77,57.68,48.43,10.04
IR-O-U-0589,Visva Bharati,Santiniketan,West Bengal,42.76,64,49.51,26.16,73.81,36.58,16.35
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,42.63,65,47.93,15.81,71.24,71.60,20.97
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,42.52,66,49.65,17.53,72.91,45.77,32.01
IR-O-U-0011,Gandhi Institute of Technology and Management,Visakhapatnam,Andhra Pradesh,42.13,67,49.30,14.93,69.39,56.83,32.97
IR-O-I-1361,Bharati Vidyapeeth,Pune,Maharashtra,42.10,68,54.05,11.21,65.27,56.98,37.74
IR-O-U-0215,Bangalore University,Bangalore,Karnataka,41.98,69,53.29,16.54,65.15,57.16,22.80
IR-O-U-0464,Manonmaniam Sundaranar University,Tirunelveli,Tamil Nadu,41.67,70,55.30,19.43,59.29,50.68,23.23
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,41.56,71,49.58,19.08,78.35,47.78,5.23
IR-O-U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",Mumbai,Maharashtra,41.47,72,63.30,3.49,63.55,62.15,25.02
IR-O-U-0147,Pandit Deendayal Petroleum University,Gandhinagar,Gujarat,41.38,73,56.94,15.43,61.13,49.40,25.02
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,41.38,73,51.40,22.43,60.04,52.69,19.52
IR-O-U-0444,Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,41.24,75,61.30,3.62,64.37,58.87,30.09
IR-O-U-0298,Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,41.14,76,41.21,13.84,84.71,55.89,20.97
IR-O-U-0239,NITTE,Mangaluru,Karnataka,41.04,77,60.34,7.25,57.87,67.37,24.51
IR-O-I-1280,Maharshi Dayanand University,Rohtak,Haryana,41.03,78,47.73,16.05,69.91,51.65,27.44
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,40.79,79,48.12,22.64,64.22,52.45,14.81
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,40.42,80,60.99,8.04,51.90,73.35,20.01
IR-O-U-0232,Kuvempu University,Shimoga,Karnataka,40.40,81,50.59,14.06,70.94,50.10,18.00
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,40.37,82,53.40,21.81,60.13,53.42,4.35
IR-O-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,40.20,83,41.22,30.31,51.98,52.25,31.19
IR-O-U-0372,Central University of Punjab,Bathinda,Punjab,39.99,84,51.13,17.39,53.26,62.10,25.74
IR-O-U-0569,The University of Burdwan,Bardhaman,West Bengal,39.98,85,43.91,19.82,69.71,49.16,20.01
IR-O-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,39.86,86,47.86,26.71,54.55,50.95,14.81
IR-O-U-0366,Utkal University,Bhubaneswar,Odisha,39.80,87,41.99,13.78,72.66,50.52,34.80
IR-O-U-0162,Guru Jambheshwar University of Science and Technology,Hisar,Haryana,39.66,88,54.01,15.61,56.44,47.85,26.97
IR-O-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,39.53,89,43.21,23.06,64.69,54.60,12.52
IR-O-U-0143,Maharaja Sayajirao University of Baroda,Vadodara,Gujarat,39.48,90,43.80,14.83,68.44,58.31,23.67
IR-O-U-0225,KLE Academy of Higher Education and Research,Belagavi,Karnataka,39.44,91,57.64,9.98,49.27,61.36,31.74
IR-O-U-0451,Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,39.26,92,61.18,6.64,56.44,57.30,19.02
IR-O-U-0050,Assam University,Silchar,Assam,39.21,93,52.68,13.32,63.79,48.04,18.51
